YEAR,MONTH,ENGLAND,ATLANTIC,CENTRAL,SOUTH,WEST,RICO,US
1991,10,2955,6279,10280,10615,6855,0,36984
1991,11,2420,4527,7264,7739,5360,0,27310
1991,12,2681,4696,7037,8109,5132,117,27772
1992,1,1738,5237,8682,9089,4809,181,29736
1992,2,1750,4837,8653,9074,5083,43,29440
1992,3,2555,6528,12047,10830,6790,363,39113
1992,4,2795,7918,11481,10994,7328,295,40811
1992,5,2441,6756,11036,11889,7214,232,39568
1992,6,3011,7084,12886,13939,8326,313,45559
1992,7,2815,6898,11874,10877,7533,298,40295
1992,8,3343,5480,11343,11624,7504,215,39509
1992,9,3318,5798,10856,11794,6415,251,38432
1992,10,2367,6245,9601,10054,5275,347,33889
1992,11,1685,4554,8116,7186,5624,364,27529
1992,12,2277,4586,7886,7910,4879,362,27900
1993,1,1625,5258,9179,7020,4533,340,27955
1993,2,1761,4022,9348,8793,5705,319,29948
1993,3,2416,5132,13015,10854,7149,416,38982
1993,4,2403,5887,11540,10005,6443,319,36597
1993,5,2874,6737,13291,10816,7147,279,41144
1993,6,3080,8028,13422,12060,7535,415,44540
1993,7,2712,7564,11618,11464,7258,329,40945
1993,8,2691,6868,11407,10989,7402,596,39953
1993,9,2196,6375,10634,10942,7014,669,37830
1993,10,1452,5664,9348,9082,6637,541,32724
1993,11,1840,5570,8378,7703,6139,573,30203
1993,12,1847,5027,7284,7908,4711,542,27319
1994,1,1075,5028,10507,8294,5479,320,30703
1994,2,1521,5719,11734,8973,6216,122,34285
1994,3,2661,8011,13995,11257,8309,652,44885
1994,4,2198,7060,9707,10157,7115,618,36855
1994,5,2244,7282,13452,11189,8622,770,43559
1994,6,2372,8678,15349,11425,8404,648,46876
1994,7,2312,7282,13579,9545,7586,332,40636
1994,8,2984,8007,14693,9423,7856,537,43500
1994,9,1558,6816,12721,8505,7370,568,37538
1994,10,1523,5290,10572,9157,7444,0,33986
1994,11,1548,5248,9155,8209,7387,0,31547
1994,12,1888,5850,7158,8714,5344,0,28954
1995,1,1340,5489,8744,9153,5927,0,30653
1995,2,1370,5272,8741,8406,6436,0,30225
1995,3,1796,6884,12986,12108,7725,0,41499
1995,4,1840,6094,11020,10715,6920,0,36589
1995,5,2420,8141,14647,12270,8096,0,45574
1995,6,2512,7719,15917,15977,8473,0,50598
1995,7,2565,7034,14074,8251,8574,0,40498
1995,8,2654,7893,15181,11060,7380,0,44168
1995,9,2084,6336,12448,10988,6510,0,38366
1995,10,2106,6025,11479,7619,7415,0,34644
1995,11,2262,4921,9352,7123,5431,0,29089
1995,12,1886,5474,8707,7849,5122,0,29038
1996,1,1812,5149,8487,7510,5532,0,28490
1996,2,2172,5383,10799,8494,5709,0,32557
1996,3,2607,5759,13601,13195,6440,0,41602
1996,4,2733,6668,13349,10478,6821,0,40049
1996,5,3262,7144,14222,13962,7299,0,45889
1996,6,3104,6831,14762,14649,6545,0,45891
1996,7,3335,6830,13766,13381,6858,0,44170
1996,8,3032,6114,12926,11701,6817,0,40590
1996,9,2415,5551,11212,9917,5451,0,34546
1996,10,2400,5987,11466,9084,5294,0,34231
1996,11,1600,4690,8192,8205,4547,0,27234
1996,12,1770,4800,9432,8688,4676,0,29366
1997,1,2126,5783,11299,8868,4698,0,32774
1997,2,2253,5951,9877,9055,5327,0,32463
1997,3,2558,6210,12198,11775,5455,0,38196
1997,4,2613,7316,13321,9937,6422,0,39609
1997,5,2939,6937,13178,11424,6309,0,40787
1997,6,2925,7367,14329,11574,6649,0,42844
1997,7,2967,6800,14773,10261,6322,0,41123
1997,8,2732,5844,13753,10172,4941,0,37442
1997,9,2376,5275,12667,10613,4884,0,35815
1997,10,2405,5412,13226,9678,4689,0,35410
1997,11,1556,5436,9428,9074,3824,0,29318
1997,12,1907,5556,9825,9513,3209,0,30010
1998,1,2333,4682,9798,8507,4501,0,29821
1998,2,2297,4952,11902,10091,4849,0,34091
1998,3,2846,6398,11695,12760,6219,0,39918
1998,4,2919,6322,14232,11280,5945,0,40698
1998,5,2920,6112,13863,11590,5797,0,40282
1998,6,3180,5857,14905,13978,6996,0,44916
1998,7,3076,5472,14850,10483,6655,0,40536
1998,8,2936,5463,14570,9118,5878,0,37965
1998,9,2603,5931,13654,9161,5541,0,36890
1998,10,1597,5446,11603,9382,4442,0,32470
1998,11,1309,5186,8674,10056,4036,0,29261
1998,12,2800,5877,8385,9988,3822,0,30872
1999,1,2194,2199,9570,8976,3983,0,26922
1999,2,2424,4571,11350,11100,4846,0,34291
1999,3,2904,5984,16799,14152,6368,0,46207
1999,4,3505,6040,15503,15135,6397,0,46580
1999,5,3147,6663,16302,15435,6336,0,47883
1999,6,3008,6792,15819,13822,7282,0,46723
1999,7,2671,5685,16277,12757,6902,0,44292
1999,8,2893,5555,15260,12929,7267,0,43904
1999,9,2212,5589,16236,13737,5969,0,43743
1999,10,1923,5137,12636,13268,5798,0,38762
1999,11,2116,5943,15236,13619,5325,0,42239
1999,12,2417,4823,13422,12685,4252,0,37599
2000,1,1935,3901,14561,10753,4649,0,35799
2000,2,2687,4309,17057,12907,5729,0,42689
2000,3,3142,4831,14625,15402,6683,0,44683
2000,4,2777,5046,13214,13340,6811,0,41188
2000,5,3411,5562,13738,14006,7064,0,43781
2000,6,3352,5750,14491,15004,7790,0,46387
2000,7,2929,4513,12260,13659,6938,0,40299
2000,8,3173,5163,13106,14535,7847,0,43824
2000,9,2834,4755,14035,13198,6463,0,41285
2000,10,3011,5603,11995,14903,6662,0,42174
2000,11,2657,4773,14938,12384,5779,0,40531
2000,12,2461,3914,12892,11721,5491,0,36479
2001,1,2626,3948,16228,11160,5631,0,39593
2001,2,2256,3572,12429,10587,5610,0,34454
2001,3,2661,5734,16155,13250,6836,0,44636
2001,4,3172,5735,16376,12058,6582,0,43923
2001,5,2546,6173,17065,12308,6640,0,44732
2001,6,2055,5367,17795,12590,6329,0,44136
2001,7,2618,5789,16920,10650,6889,0,42866
2001,8,2402,6097,16678,11755,6741,0,43673
2001,9,2772,5449,10753,9924,5409,0,34307
2001,10,2255,5545,12421,12953,6564,0,39738
2001,11,2632,6412,15239,10494,5747,0,40524
2001,12,2212,4769,11005,9474,4650,0,32110
2002,1,2606,6279,12956,11347,5383,0,38571
2002,2,2646,5227,12633,10524,5532,0,36562
2002,3,2788,6105,15076,12606,6019,0,42594
2002,4,2480,6301,16705,12861,6579,0,44926
2002,5,2974,6232,17371,13463,6748,0,46788
2002,6,3344,7234,16579,15658,6091,0,48906
2002,7,2677,6987,17794,13277,6012,0,46747
2002,8,2876,7419,19389,13789,5693,0,49166
2002,9,3425,11189,16195,15594,5437,0,51840
