YEAR,MONTH,ENGLAND,ATLANTIC,CENTRAL,SOUTH,WEST,RICO,U.S.   1/
1991,10,"2,955","6,279","10,280","10,615","6,855",0,"36,984"
1991,11,"2,420","4,527","7,264","7,739","5,360",0,"27,310"
1991,12,"2,681","4,696","7,037","8,109","5,132",117,"27,772"
1992,1,"1,738","5,237","8,682","9,089","4,809",181,"29,736"
1992,2,"1,750","4,837","8,653","9,074","5,083",43,"29,440"
1992,3,"2,555","6,528","12,047","10,830","6,790",363,"39,113"
1992,4,"2,795","7,918","11,481","10,994","7,328",295,"40,811"
1992,5,"2,441","6,756","11,036","11,889","7,214",232,"39,568"
1992,6,"3,011","7,084","12,886","13,939","8,326",313,"45,559"
1992,7,"2,815","6,898","11,874","10,877","7,533",298,"40,295"
1992,8,"3,343","5,480","11,343","11,624","7,504",215,"39,509"
1992,9,"3,318","5,798","10,856","11,794","6,415",251,"38,432"
1992,10,"2,367","6,245","9,601","10,054","5,275",347,"33,889"
1992,11,"1,685","4,554","8,116","7,186","5,624",364,"27,529"
1992,12,"2,277","4,586","7,886","7,910","4,879",362,"27,900"
1993,1,"1,625","5,258","9,179","7,020","4,533",340,"27,955"
1993,2,"1,761","4,022","9,348","8,793","5,705",319,"29,948"
1993,3,"2,416","5,132","13,015","10,854","7,149",416,"38,982"
1993,4,"2,403","5,887","11,540","10,005","6,443",319,"36,597"
1993,5,"2,874","6,737","13,291","10,816","7,147",279,"41,144"
1993,6,"3,080","8,028","13,422","12,060","7,535",415,"44,540"
1993,7,"2,712","7,564","11,618","11,464","7,258",329,"40,945"
1993,8,"2,691","6,868","11,407","10,989","7,402",596,"39,953"
1993,9,"2,196","6,375","10,634","10,942","7,014",669,"37,830"
1993,10,"1,452","5,664","9,348","9,082","6,637",541,"32,724"
1993,11,"1,840","5,570","8,378","7,703","6,139",573,"30,203"
1993,12,"1,847","5,027","7,284","7,908","4,711",542,"27,319"
1994,1,"1,075","5,028","10,507","8,294","5,479",320,"30,703"
1994,2,"1,521","5,719","11,734","8,973","6,216",122,"34,285"
1994,3,"2,661","8,011","13,995","11,257","8,309",652,"44,885"
1994,4,"2,198","7,060","9,707","10,157","7,115",618,"36,855"
1994,5,"2,244","7,282","13,452","11,189","8,622",770,"43,559"
1994,6,"2,372","8,678","15,349","11,425","8,404",648,"46,876"
1994,7,"2,312","7,282","13,579","9,545","7,586",332,"40,636"
1994,8,"2,984","8,007","14,693","9,423","7,856",537,"43,500"
1994,9,"1,558","6,816","12,721","8,505","7,370",568,"37,538"
1994,10,"1,523","5,290","10,572","9,157","7,444",0,"33,986"
1994,11,"1,548","5,248","9,155","8,209","7,387",0,"31,547"
1994,12,"1,888","5,850","7,158","8,714","5,344",0,"28,954"
1995,1,"1,340","5,489","8,744","9,153","5,927",0,"30,653"
1995,2,"1,370","5,272","8,741","8,406","6,436",0,"30,225"
1995,3,"1,796","6,884","12,986","12,108","7,725",0,"41,499"
1995,4,"1,840","6,094","11,020","10,715","6,920",0,"36,589"
1995,5,"2,420","8,141","14,647","12,270","8,096",0,"45,574"
1995,6,"2,512","7,719","15,917","15,977","8,473",0,"50,598"
1995,7,"2,565","7,034","14,074","8,251","8,574",0,"40,498"
1995,8,"2,654","7,893","15,181","11,060","7,380",0,"44,168"
1995,9,"2,084","6,336","12,448","10,988","6,510",0,"38,366"
1995,10,"2,106","6,025","11,479","7,619","7,415",0,"34,644"
1995,11,"2,262","4,921","9,352","7,123","5,431",0,"29,089"
1995,12,"1,886","5,474","8,707","7,849","5,122",0,"29,038"
1996,1,"1,812","5,149","8,487","7,510","5,532",0,"28,490"
1996,2,"2,172","5,383","10,799","8,494","5,709",0,"32,557"
1996,3,"2,607","5,759","13,601","13,195","6,440",0,"41,602"
1996,4,"2,733","6,668","13,349","10,478","6,821",0,"40,049"
1996,5,"3,262","7,144","14,222","13,962","7,299",0,"45,889"
1996,6,"3,104","6,831","14,762","14,649","6,545",0,"45,891"
1996,7,"3,335","6,830","13,766","13,381","6,858",0,"44,170"
1996,8,"3,032","6,114","12,926","11,701","6,817",0,"40,590"
1996,9,"2,415","5,551","11,212","9,917","5,451",0,"34,546"
1996,10,"2,400","5,987","11,466","9,084","5,294",0,"34,231"
1996,11,"1,600","4,690","8,192","8,205","4,547",0,"27,234"
1996,12,"1,770","4,800","9,432","8,688","4,676",0,"29,366"
1997,1,"2,126","5,783","11,299","8,868","4,698",0,"32,774"
1997,2,"2,253","5,951","9,877","9,055","5,327",0,"32,463"
1997,3,"2,558","6,210","12,198","11,775","5,455",0,"38,196"
1997,4,"2,613","7,316","13,321","9,937","6,422",0,"39,609"
1997,5,"2,939","6,937","13,178","11,424","6,309",0,"40,787"
1997,6,"2,925","7,367","14,329","11,574","6,649",0,"42,844"
1997,7,"2,967","6,800","14,773","10,261","6,322",0,"41,123"
1997,8,"2,732","5,844","13,753","10,172","4,941",0,"37,442"
1997,9,"2,376","5,275","12,667","10,613","4,884",0,"35,815"
1997,10,"2,405","5,412","13,226","9,678","4,689",0,"35,410"
1997,11,"1,556","5,436","9,428","9,074","3,824",0,"29,318"
1997,12,"1,907","5,556","9,825","9,513","3,209",0,"30,010"
1998,1,"2,333","4,682","9,798","8,507","4,501",0,"29,821"
1998,2,"2,297","4,952","11,902","10,091","4,849",0,"34,091"
1998,3,"2,846","6,398","11,695","12,760","6,219",0,"39,918"
1998,4,"2,919","6,322","14,232","11,280","5,945",0,"40,698"
1998,5,"2,920","6,112","13,863","11,590","5,797",0,"40,282"
1998,6,"3,180","5,857","14,905","13,978","6,996",0,"44,916"
1998,7,"3,076","5,472","14,850","10,483","6,655",0,"40,536"
1998,8,"2,936","5,463","14,570","9,118","5,878",0,"37,965"
1998,9,"2,603","5,931","13,654","9,161","5,541",0,"36,890"
1998,10,"1,597","5,446","11,603","9,382","4,442",0,"32,470"
1998,11,"1,309","5,186","8,674","10,056","4,036",0,"29,261"
1998,12,"2,800","5,877","8,385","9,988","3,822",0,"30,872"
1999,1,"2,194","2,199","9,570","8,976","3,983",0,"26,922"
1999,2,"2,424","4,571","11,350","11,100","4,846",0,"34,291"
1999,3,"2,904","5,984","16,799","14,152","6,368",0,"46,207"
1999,4,"3,505","6,040","15,503","15,135","6,397",0,"46,580"
1999,5,"3,147","6,663","16,302","15,435","6,336",0,"47,883"
1999,6,"3,008","6,792","15,819","13,822","7,282",0,"46,723"
1999,7,"2,671","5,685","16,277","12,757","6,902",0,"44,292"
1999,8,"2,893","5,555","15,260","12,929","7,267",0,"43,904"
1999,9,"2,212","5,589","16,236","13,737","5,969",0,"43,743"
1999,10,"1,923","5,137","12,636","13,268","5,798",0,"38,762"
